p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
7.04952451461424e-34	0.57630951891839	0.696	0.47	2.52691533542679e-32	Astrocyte	TMTC2
7.52985440176615e-34	0.429632948537708	0.311	0.116	2.67669139667762e-32	Astrocyte	BCL6
1.07037325719966e-33	-0.368596577484999	0.628	0.926	3.77361633515616e-32	Astrocyte	APP
1.19554539500017e-33	0.626526384341793	0.565	0.322	4.19763827826496e-32	Astrocyte	BBS2
1.20966319645846e-33	-0.439210007730597	0.615	0.882	4.22987126696311e-32	Astrocyte	HERC1
1.47168139088725e-33	-0.451842315112788	0.405	0.711	5.12516035598824e-32	Astrocyte	FRY
2.80050256814862e-33	0.554765424614374	0.562	0.324	9.63530341418844e-32	Astrocyte	ASRGL1
3.4003076475216e-33	0.462022698737214	0.367	0.153	1.1652174246527e-31	Astrocyte	WASF2
4.66177933661769e-33	-0.599799328092728	0.337	0.619	1.59113400704397e-31	Astrocyte	SNRPN
8.42796944235902e-33	0.630196191287579	0.691	0.456	2.86517516717023e-31	Astrocyte	PDE7B
1.56279189282805e-32	0.483647929449784	0.587	0.315	5.29187278492406e-31	Astrocyte	RBMS3
4.58845110834526e-32	0.371627060192362	0.197	0.056	1.54760868681866e-30	Astrocyte	SYPL1
4.71028369101679e-32	-0.481171497501919	0.4	0.692	1.58247060317415e-30	Astrocyte	ADAM23
6.61596213494162e-32	-0.549764005066195	0.562	0.845	2.21402139101738e-30	Astrocyte	DAB1
2.23944144350947e-31	-0.403892607775974	0.762	0.951	7.43616079323473e-30	Astrocyte	JMJD1C
2.3432030788369e-31	0.596618668729467	0.471	0.243	7.75066439243077e-30	Astrocyte	RAD51B
2.47548902560076e-31	-0.905664679691911	0.02	0.298	8.15673633935449e-30	Astrocyte	XIST
3.77660305022222e-31	0.284374526495379	0.213	0.064	1.23962292456911e-29	Astrocyte	EFHD1
3.84794489359472e-31	0.474398217442941	0.428	0.202	1.25821923295519e-29	Astrocyte	HIPK2
5.34363988047225e-31	0.63823586567944	0.706	0.527	1.73405162333355e-29	Astrocyte	ENO1
6.41114379671164e-31	0.548851750220262	0.724	0.552	2.07261392099731e-29	Astrocyte	TOM1L2
1.98894487095058e-30	-0.452825894156201	0.559	0.831	6.40574838700511e-29	Astrocyte	PRKCE
2.83243575389777e-30	-0.460801659599756	0.557	0.82	9.05428250135904e-29	Astrocyte	KCNQ3
4.14238408408054e-30	0.43155552263578	0.359	0.155	1.31924923599695e-28	Astrocyte	TBL1X
4.94800676063526e-30	-0.437895506386056	0.408	0.689	1.5699842191986e-28	Astrocyte	ADAM22
5.5121393042295e-30	-0.479399668425142	0.534	0.837	1.74252758004923e-28	Astrocyte	STMN1
6.14628584247972e-30	0.351344115443553	0.281	0.104	1.93585407398984e-28	Astrocyte	PTAR1
7.93748970217655e-30	0.267833956151729	0.122	0.025	2.49085986368302e-28	Astrocyte	HSD17B6
1.25201895315952e-29	-0.47997769630163	0.453	0.72	3.91461546413053e-28	Astrocyte	OSBPL8
1.30136417014654e-29	-0.448232232639267	0.486	0.759	4.05410430750743e-28	Astrocyte	SCAI
1.35079553389617e-29	-0.426153139717611	0.489	0.765	4.19284976046685e-28	Astrocyte	STRBP
2.14603557143641e-29	0.611468159570101	0.623	0.406	6.63721542978186e-28	Astrocyte	DOCK7
3.31810509268634e-29	-0.427198947459943	0.446	0.732	1.02252540751957e-27	Astrocyte	CERS6
4.21376141769723e-29	-0.446615458023151	0.362	0.62	1.29388150772087e-27	Astrocyte	ABCA5
4.31045566401263e-29	0.596614425981183	0.441	0.227	1.31884548834272e-27	Astrocyte	PLEKHG1
7.64987210203846e-29	0.371650631919307	0.299	0.116	2.32398774106963e-27	Astrocyte	CAPN2
8.87289046200218e-29	0.312148927876096	0.175	0.049	2.68600892537006e-27	Astrocyte	ITGA6
1.19607617848989e-28	-0.432594840519736	0.496	0.769	3.60802275391651e-27	Astrocyte	FOCAD
1.55886386787884e-28	0.334637442273304	0.241	0.082	4.68589008986598e-27	Astrocyte	CPM
1.61074915773882e-28	0.387321207092846	0.248	0.089	4.82492588613583e-27	Astrocyte	PTTG1IP
2.49705384796722e-28	0.461487574057067	0.425	0.206	7.45374923886241e-27	Astrocyte	GPD2
